Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X,Centroid Y,Distance in um to nearest Cell,Area,Perimeter
CBPM03Lc_Sec04_CaMKIIa_merged.tif,37bace6d-ddc8-4d94-87fd-4b64eb9bd973,Annotation,Cell83,Cell,Root object (Image),Polygon,361.46,460.36,2.8535,64.6,29.8
CBPM03Lc_Sec04_CaMKIIa_merged.tif,ec531d91-0378-4198-9edc-153927e61f01,Annotation,Cell12,Cell,Root object (Image),Polygon,399.51,461.64,5.7731,66.59,30.05
CBPM03Lc_Sec04_CaMKIIa_merged.tif,48287544-5d48-47cd-b590-a0a4fba67666,Annotation,Cell45,Cell,Root object (Image),Polygon,345.41,467.01,2.9533,37.11,24.21
CBPM03Lc_Sec04_CaMKIIa_merged.tif,697e2194-be21-43d5-9758-cb0b6ca8e537,Annotation,Cell70,Cell,Root object (Image),Polygon,300.71,473.58,10.2975,28.83,21.37
CBPM03Lc_Sec04_CaMKIIa_merged.tif,ff00d91b-02b1-4404-9db4-ec092b2f3f79,Annotation,Cell8,Cell,Root object (Image),Polygon,364.19,473.91,7.3127,20.52,16.52
CBPM03Lc_Sec04_CaMKIIa_merged.tif,c6e44e5f-afe0-42c9-9a4f-643c4ffa58c9,Annotation,Cell87,Cell,Root object (Image),Polygon,325.45,478.85,5.6085,45.42,24.54
CBPM03Lc_Sec04_CaMKIIa_merged.tif,bfb14c9c-7736-4458-bec4-6b14b6bd2fe7,Annotation,Cell2,Cell,Root object (Image),Polygon,414.7,479.27,1.5761,35.18,21.91
CBPM03Lc_Sec04_CaMKIIa_merged.tif,6915b191-ac54-467d-ba9f-a09360977372,Annotation,Cell90,Cell,Root object (Image),Polygon,338.3,481.82,5.4612,50.26,26.06
CBPM03Lc_Sec04_CaMKIIa_merged.tif,156d706c-d8b0-4b0b-a981-f9a0859e46a0,Annotation,Cell61,Cell,Root object (Image),Polygon,381.27,480.54,5.0688,23.67,18.87
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d8325865-d2b1-458b-84b2-d469b1ad30c7,Annotation,Cell18,Cell,Root object (Image),Polygon,422.2,483.15,1.519,49.31,27.1
CBPM03Lc_Sec04_CaMKIIa_merged.tif,7ca4e0cf-9a33-4473-9db4-63498f2dfcd0,Annotation,Cell68,Cell,Root object (Image),Polygon,392.8,484.24,6.2157,21.4,16.83
CBPM03Lc_Sec04_CaMKIIa_merged.tif,ceb04de4-4d4f-4fb8-9631-e875e43bb167,Annotation,Cell79,Cell,Root object (Image),Polygon,433.43,485.96,3.2615,43.48,23.95
CBPM03Lc_Sec04_CaMKIIa_merged.tif,36c3e067-1d26-4b39-98b1-593b58bc0d20,Annotation,Cell22,Cell,Root object (Image),Polygon,275.31,484.95,22.7839,19.42,15.98
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d1ce78bb-9e32-4422-8652-7f5af3468b80,Annotation,Cell66,Cell,Root object (Image),Polygon,368.24,487.64,5.8269,20.73,16.57
CBPM03Lc_Sec04_CaMKIIa_merged.tif,1e0fdb57-959e-4ed4-b1d1-132382b916cb,Annotation,Cell1,Cell,Root object (Image),Polygon,309.15,489.34,10.3976,43.58,31.03
CBPM03Lc_Sec04_CaMKIIa_merged.tif,b03711b7-c130-4328-8890-175323ad231e,Annotation,Cell78,Cell,Root object (Image),Polygon,379.8,490.43,5.3043,19.01,18.45
CBPM03Lc_Sec04_CaMKIIa_merged.tif,0f3e2a69-1ed9-48ef-81ca-af27ee2cae78,Annotation,Cell91,Cell,Root object (Image),Polygon,392.35,404.81,0.0052,23.54,18.91
CBPM03Lc_Sec04_CaMKIIa_merged.tif,25972b65-5211-42c3-87c2-20bbe6f02869,Annotation,Cell48,Cell,Root object (Image),Polygon,397.6,405.84,0,34.49,22.2
CBPM03Lc_Sec04_CaMKIIa_merged.tif,5af05a9f-f9d3-42bd-ac46-0d88ae89bc42,Annotation,Cell63,Cell,Root object (Image),Polygon,432.22,408.21,0,39.15,24.44
CBPM03Lc_Sec04_CaMKIIa_merged.tif,b761c05f-b26c-452f-84cb-e034b079a61e,Annotation,Cell58,Cell,Root object (Image),Polygon,437.34,404.31,0,27.46,20.37
CBPM03Lc_Sec04_CaMKIIa_merged.tif,1dcd30af-47d4-40de-831b-61a398944c5d,Annotation,Cell57,Cell,Root object (Image),Polygon,417.75,343.45,0.0027,14.68,16.02
CBPM03Lc_Sec04_CaMKIIa_merged.tif,ddfa8d0c-d0da-4542-a4dc-3ddd14140813,Annotation,Cell19,Cell,Root object (Image),Polygon,420.59,346.03,0,33.7,22.12
CBPM03Lc_Sec05_NPY_merged.tif,60f56ca7-159b-4073-a961-dd25b820c6fb,Annotation,ROI,,Root object (Image),Rectangle,358.73,396.2,0,37066.9,770.12
CBPM03Lc_Sec05_NPY_merged.tif,8b14bccd-5e55-4b97-acbf-710b1382f66a,Annotation,Cell20,Cell,Root object (Image),Polygon,320.21,306.6,1.1177,57.68,28.12
CBPM03Lc_Sec05_NPY_merged.tif,201f88d4-22b6-434a-8721-9dc923026569,Annotation,Cell53,Cell,Root object (Image),Polygon,328.58,305.8,1.1076,19.56,16.42
CBPM03Lc_Sec05_NPY_merged.tif,4d1fbf9b-183c-4eee-af42-1f3f7436c819,Annotation,Cell77,Cell,Root object (Image),Polygon,398.08,313.94,6.4184,63.35,29.84
CBPM03Lc_Sec05_NPY_merged.tif,96d08dc7-2a8d-4153-bf48-197d709efe94,Annotation,Cell41,Cell,Root object (Image),Polygon,371.1,316.1,4.0568,27.14,19.16
CBPM03Lc_Sec05_NPY_merged.tif,e04bc547-85f4-40b6-bef1-61f9d7f060d5,Annotation,Cell21,Cell,Root object (Image),Polygon,359.95,317.34,4.1962,57.27,27.56
CBPM03Lc_Sec05_NPY_merged.tif,b7dc9495-37af-4529-a5d5-60070fd670b9,Annotation,Cell60,Cell,Root object (Image),Polygon,382.09,317,4.0779,33.56,22.61
CBPM03Lc_Sec05_NPY_merged.tif,0cf14de2-db5c-4a85-88d7-12f9c00b7b16,Annotation,Cell76,Cell,Root object (Image),Polygon,289.76,326.37,12.199,66.79,31.27
CBPM03Lc_Sec05_NPY_merged.tif,f0479ea9-9ff1-4a1c-be14-9681dd14873b,Annotation,Cell3,Cell,Root object (Image),Polygon,424.39,328.08,4.2817,13.24,13.27
CBPM03Lc_Sec05_NPY_merged.tif,a3eaf8fb-f158-46a1-bcb0-7f8e01e369dc,Annotation,Cell66,Cell,Root object (Image),Polygon,414.64,330.1,4.151,39.75,23.39
